Frec[Hz],Fase [Â°],Rp[Ohm],Cs[F],D
10,-89.83285395,365707.8089,1.491814671700E-05,0.002917257196
10.59253725,-89.82464883,329050.1955,1.492020022980E-05,0.003060464842
11.22018454,-89.82283162,307527.2347,1.491680234230E-05,0.003092181418
11.88502227,-89.81456534,277272.9048,1.492270189260E-05,0.003236456582
12.58925412,-89.81944922,268892.0459,1.491998260870E-05,0.003151215991
13.33521432,-89.81170042,243501.3499,1.491403539650E-05,0.003286459462
14.12537545,-89.81189713,230119.5965,1.491409352180E-05,0.003283026185
14.96235656,-89.80433633,208826.019,1.491596406920E-05,0.003414988604
15.84893192,-89.79978399,192733.1571,1.491046035330E-05,0.003494442889
16.78804018,-89.79360608,176470.8958,1.491339546670E-05,0.003602269015
17.7827941,-89.79601027,168590.8358,1.491091070860E-05,0.003560307454
18.83649089,-89.78948904,154245.3259,1.490939274810E-05,0.003674125835
19.95262315,-89.78553687,142941.6824,1.490854606650E-05,0.003743105219
21.1348904,-89.78005596,131596.4238,1.490701676360E-05,0.003838766571
22.38721139,-89.77408889,120957.5593,1.490653378030E-05,0.003942913047
23.71373706,-89.76321478,108961.5297,1.490458648420E-05,0.004132705195
25.11886432,-89.75949071,101284.3602,1.490299725540E-05,0.004197703636
26.6072506,-89.75446603,93659.88652,1.490331434770E-05,0.004285402495
28.18382931,-89.74599124,85491.3954,1.489969419990E-05,0.004433318228
29.85382619,-89.73860445,78435.99058,1.489824831940E-05,0.004562244714
31.6227766,-89.73182622,72180.76251,1.489742891110E-05,0.004680549673
33.49654392,-89.72234858,65829.4256,1.489462580730E-05,0.004845969401
35.48133892,-89.71054029,59614.9927,1.489383483320E-05,0.005052068003
37.58374043,-89.70421469,55078.81526,1.489324342410E-05,0.005162473412
39.81071706,-89.6919018,49923.35633,1.489217714600E-05,0.005377379917
42.16965034,-89.68400806,45960.08588,1.489000112780E-05,0.005515155719
44.66835922,-89.66380374,40783.0712,1.488949338710E-05,0.005867799096
47.3151259,-89.66764718,38947.38669,1.488931813160E-05,0.00580071613
50.11872336,-89.65121732,35046.88161,1.488501231900E-05,0.006087481372
53.08844442,-89.63073223,31253.64627,1.488376113490E-05,0.006445027684
56.23413252,-89.62087307,28739.96056,1.488279991090E-05,0.00661710973
59.56621435,-89.60215587,25855.71498,1.488288798970E-05,0.006943801644
63.09573445,-89.58189473,23228.76496,1.488149017750E-05,0.00729744309
66.83439176,-89.56509608,21084.79494,1.487978808660E-05,0.007590651039
70.79457844,-89.54187551,18899.44919,1.487745424490E-05,0.007995951053
74.98942093,-89.52209795,17104.46515,1.487697101380E-05,0.008341157681
79.43282347,-89.50345156,15543.22158,1.487516702670E-05,0.008666622126
84.13951416,-89.47778465,13953.82429,1.487386826380E-05,0.009114629697
89.12509381,-89.45446507,12611.16219,1.487275198650E-05,0.00952166849
94.40608763,-89.42622374,11321.32196,1.487072298910E-05,0.01001461968
100,-89.39883729,10202.4445,1.486888355970E-05,0.01049265375
105.9253725,-89.36907557,9177.953013,1.486807340370E-05,0.01101215379
112.2018454,-89.33944404,8276.970569,1.486620853280E-05,0.01152938723
118.8502227,-89.3072276,7451.236686,1.486504249090E-05,0.01209174867
125.8925412,-89.27232937,6697.68931,1.486379195940E-05,0.01270093132
133.3521432,-89.23534386,6017.972443,1.486202408270E-05,0.01334655961
141.2537545,-89.19525232,5398.888124,1.486058203700E-05,0.01404642041
149.6235656,-89.15783483,4870.868323,1.485941294930E-05,0.01469961371
158.4893192,-89.11581245,4380.448731,1.485760199130E-05,0.01543320907
167.8804018,-89.06657594,3917.750779,1.485606575820E-05,0.0162927646
177.827941,-89.01805043,3516.271877,1.485443635640E-05,0.01713993119
188.3649089,-88.96347631,3144.952016,1.485402903630E-05,0.01809272496
199.5262315,-88.90610773,2814.068536,1.485043179740E-05,0.01909434178
211.348904,-88.85242219,2532.479838,1.485014799210E-05,0.02003168984
223.8721139,-88.78495759,2258.547055,1.484746804450E-05,0.02120967006
237.1373706,-88.72587169,2033.585418,1.484603114490E-05,0.02224140042
251.1886432,-88.65205728,1814.766971,1.484604322340E-05,0.02353037983
266.072506,-88.57296223,1618.833852,1.484173387020E-05,0.02491165896
281.8382931,-88.50501204,1458.908698,1.484137329700E-05,0.02609838526
298.5382619,-88.41922654,1302.817655,1.483918002460E-05,0.02759670405
316.227766,-88.33131896,1165.418979,1.483655101390E-05,0.02913221554
334.9654392,-88.24172984,1044.317443,1.483533371720E-05,0.03069724014
354.8133892,-88.14572563,935.0230603,1.483370829430E-05,0.03237449663
375.8374043,-88.04516175,837.454896,1.483226898000E-05,0.03413160863
398.1071706,-87.93926698,750.1631591,1.482995727310E-05,0.03598209303
421.6965034,-87.81705752,668.7238631,1.482770733650E-05,0.03811797917
446.6835922,-87.70678226,601.0901217,1.482592461660E-05,0.04004558582
473.151259,-87.57380899,536.604916,1.482116721840E-05,0.04237034927
501.1872336,-87.42993686,478.3165866,1.482061545650E-05,0.04488617249
530.8844442,-87.30337159,430.5348341,1.481681626130E-05,0.04709982677
562.3413252,-87.15528944,385.4020795,1.481509955960E-05,0.04969040245
595.6621435,-86.9758791,342.4005054,1.481208156190E-05,0.05282993401
630.9573445,-86.81291474,306.861541,1.480821941710E-05,0.05568257328
668.3439176,-86.6365102,274.6105025,1.480586311860E-05,0.05877149875
707.9457844,-86.45338857,246.0207264,1.480019342940E-05,0.06197922723
749.8942093,-86.2463442,219.5467068,1.479805970820E-05,0.06560754286
794.3282347,-86.04540288,196.8560446,1.479353353330E-05,0.06913055133
841.3951416,-85.80851422,175.4573971,1.478950584880E-05,0.07328600876
891.2509381,-85.60876185,158.2291929,1.478329254120E-05,0.07679197977
944.0608763,-85.34754093,141.1407359,1.477469544230E-05,0.08137966827
1000,-85.08207021,126.1476333,1.477122582860E-05,0.08604548413
1059.253725,-84.78985423,112.5097757,1.476724245370E-05,0.09118567577
1122.018454,-84.49201987,100.6158023,1.475581424330E-05,0.09642962092
1188.502227,-84.21642096,90.53651531,1.475286819120E-05,0.1012867474
1258.925412,-83.86780269,80.72207717,1.474537750070E-05,0.1074375718
1333.521432,-83.53762524,72.42853502,1.473433191580E-05,0.113270449
1412.537545,-83.17315223,64.81317487,1.472914364290E-05,0.1197180519
1496.235656,-82.83080705,58.37284234,1.471648804360E-05,0.1257831501
1584.893192,-82.39735569,52.08248775,1.470266716060E-05,0.1334754613
1678.804018,-81.96195423,46.58660886,1.469753707900E-05,0.1412180376
1778.27941,-81.56483054,41.98645743,1.469038805620E-05,0.1482944171
1883.649089,-81.04043213,37.42691402,1.467488555700E-05,0.1576611451
1995.262315,-80.64221258,33.94295568,1.464774369620E-05,0.1647920784
2113.48904,-80.14288724,30.45567874,1.465980413070E-05,0.1737567159
2238.721139,-79.5600294,27.28719569,1.461975921790E-05,0.1842555549
2371.373706,-79.06655596,24.68952437,1.459713623400E-05,0.1931750698
2511.886432,-78.50957099,22.26503257,1.457775875660E-05,0.2032783456
2660.72506,-77.83901458,19.93352863,1.457176980130E-05,0.2154949941
2818.382931,-77.35477646,18.17379956,1.454674786490E-05,0.2243553656
2985.382619,-76.64932696,16.32672908,1.453368933990E-05,0.237324011
3162.27766,-76.05162488,14.83446482,1.450253938730E-05,0.2483711817
3349.654392,-75.22928283,13.32121367,1.446814544320E-05,0.2636647113
3548.133892,-74.61043507,12.14832998,1.443087648650E-05,0.2752499563
3758.374043,-73.84886952,10.99315473,1.441693549700E-05,0.289602159
3981.071706,-73.09471293,9.979038206,1.439912497900E-05,0.3039240276
4216.965034,-72.1292322,8.993800363,1.436804064730E-05,0.3224278684
4466.835922,-71.41957383,8.215730229,1.435911454960E-05,0.3361569055
4731.51259,-70.70863106,7.528169987,1.432926401240E-05,0.350025914
5011.872336,-69.66465436,6.790496159,1.435138768290E-05,0.370612703
5308.844442,-68.66852126,6.176971976,1.432342936460E-05,0.3905167663
5623.413252,-67.90668418,5.699472291,1.424898946610E-05,0.4059220024
5956.621435,-66.76341329,5.167928372,1.426147646150E-05,0.4293566152
6309.573445,-65.79024639,4.72986707,1.425888633160E-05,0.4496224509
6683.439176,-64.82275684,4.338216793,1.425753342460E-05,0.4700792417
7079.457844,-63.7451382,3.987042733,1.421268194510E-05,0.4932509208
7498.942093,-62.43928751,3.620849675,1.428999590570E-05,0.5219145771
7943.282347,-61.27759235,3.351956257,1.418369416590E-05,0.5479924282
8413.951416,-59.89927795,3.046166551,1.431158904920E-05,0.5796965614
8912.509381,-58.4418723,2.779604612,1.440583216840E-05,0.6141971537
9440.608763,-57.09312642,2.571400694,1.437412845460E-05,0.6470992006
10000,-55.55479568,2.35288389,1.450165860200E-05,0.6858737741
10592.53725,-53.95388291,2.171990773,1.453982866410E-05,0.727773018
11220.18454,-52.58693318,2.003675321,1.467014040490E-05,0.7649191647
11885.02227,-50.81721466,1.846185648,1.481121220670E-05,0.8150799166
12589.25412,-48.88683372,1.69382814,1.506573606020E-05,0.8727603516
13335.21432,-47.31863954,1.576397675,1.519176880690E-05,0.9221712859
14125.37545,-45.48623435,1.484463636,1.518249411670E-05,0.9831696444
14962.35656,-43.38012503,1.36305363,1.563262211060E-05,1.058205404
15848.93192,-41.46669525,1.294611651,1.563227537780E-05,1.131619154
16788.04018,-39.55017023,1.20570445,1.601457946480E-05,1.210935075
17782.7941,-36.6061474,1.122660063,1.665393340630E-05,1.346199365
18836.49089,-34.55904921,1.049075612,1.724046729160E-05,1.451801395
19952.62315,-33.03620553,1.000992242,1.743593726130E-05,1.537736764
21134.8904,-30.14474653,0.9458804692,1.833258568960E-05,1.721989597
22387.21139,-28.03362191,0.9085562846,1.886169489000E-05,1.878066952
23713.73706,-25.86684654,0.8537744163,2.002439945310E-05,2.062455092
25118.86432,-22.60552191,0.8305370802,2.149870457270E-05,2.40169327
26607.2506,-19.99061923,0.7929156067,2.348146561340E-05,2.748877677
28183.82931,-16.72373862,0.7681407973,2.667607224250E-05,3.328163107
29853.82619,-13.31945639,0.7435772234,3.198093302270E-05,4.223890429
31622.7766,-12.26623166,0.7300681195,3.320628134180E-05,4.599436189
33496.54392,-9.772105593,0.7181482346,3.955447246260E-05,5.806234566
35481.33892,-7.519627461,0.6992960634,4.944061578740E-05,7.575699348
37583.74043,-1.147649817,0.7121111054,2.969626174430E-04,49.91776749
39810.71706,1.145124802,0.7305269009,-2.738857192850E-04,50.02786623
42169.65034,1.556484999,0.6910517055,-2.011411688730E-04,36.80195085
44668.35922,6.059725229,0.7101051433,-4.779809523790E-05,9.419897439
47315.1259,7.511924186,0.7052475061,-3.679919048200E-05,7.583557905
50118.72336,11.47344235,0.7216474377,-2.257338811240E-05,4.926845216
53088.44442,13.57628372,0.7331861801,-1.791954148090E-05,4.141003635
56234.13252,17.49225057,0.7582192853,-1.302062483210E-05,3.173091209
59566.21435,18.62820623,0.7849039963,-1.124613556510E-05,2.966607984
63095.73445,22.15747163,0.8059891731,-8.959652047140E-06,2.455633896
66834.39176,26.01840625,0.8616586331,-7.010756425870E-06,2.048633241
70794.57844,27.5217147,0.894764709,-6.131213602340E-06,1.919205878
74989.42093,30.38894695,0.9394574541,-5.177155653720E-06,1.705212339
79432.82347,32.82839509,0.9954892757,-4.418257137940E-06,1.550008712
84139.51416,35.60112774,1.075490128,-3.715769620640E-06,1.396727138
89125.09381,38.30759726,1.138140361,-3.225626571770E-06,1.265874487
94406.08763,40.93332185,1.24300329,-2.740112131880E-06,1.153075836
100000,41.63570297,1.308193104,-2.450078002240E-06,1.124914448
105925.3725,44.38895365,1.426755424,-2.106683984150E-06,1.021560294
112201.8454,46.66820514,1.547529727,-1.836317892810E-06,0.9434005907
118850.2227,48.04495574,1.618389138,-1.664274635340E-06,0.8989843037
125892.5412,50.41863447,1.806878752,-1.424743200000E-06,0.8267242779
133352.1432,51.52288189,1.925118403,-1.272767213080E-06,0.7947840742
141253.7545,52.2644347,2.055741512,-1.132391709920E-06,0.773879836
149623.5656,54.20432909,2.251524356,-9.958314718800E-07,0.7211078938
158489.3192,56.02539576,2.440531663,-8.878826432130E-07,0.6738638128
167880.4018,57.07143786,2.687335562,-7.731822191640E-07,0.6476363764
177827.941,57.51753158,2.818882902,-7.008440845180E-07,0.6366401747
188364.9089,58.89631144,3.086200362,-6.189548030330E-07,0.6033263745
199526.2315,59.64964198,3.342389108,-5.473171916510E-07,0.5855324592
211348.904,59.49189707,3.511957698,-4.902453970250E-07,0.5892355251
223872.1139,59.84532834,3.717927944,-4.402234661370E-07,0.5809552697
237137.3706,60.90806191,3.934799022,-4.014572250170E-07,0.5564085771
251188.6432,61.32838245,4.197457229,-3.585865100470E-07,0.5468403347
266072.506,62.71098956,4.541984281,-3.232192672420E-07,0.5158956112
281838.2931,62.76744891,4.773884888,-2.907240458820E-07,0.5146485803
298538.2619,63.89788074,5.171424772,-2.609171930430E-07,0.489940811
316227.766,64.76900639,5.543532439,-2.354480818930E-07,0.4712251709
334965.4392,65.86790745,6.05609426,-2.102758178890E-07,0.4479939847
354813.3892,67.01827731,6.602038939,-1.890191034650E-07,0.4240983911
375837.4043,67.8935545,7.150176724,-1.698623993490E-07,0.4061889422
398107.1706,69.07228093,7.975188009,-1.502513420840E-07,0.3824173048
421696.5034,69.16965255,8.435991158,-1.346097665140E-07,0.3804705792
446683.5922,70.70738731,9.554710016,-1.195837471680E-07,0.3500502813
473151.259,71.56284223,10.5512519,-1.062552114550E-07,0.3333761709
501187.2336,72.14020481,11.49883818,-9.460586429490E-08,0.3222164641
530884.4442,72.5500344,12.41899403,-8.438352950520E-08,0.3143389737
562341.3252,73.18211949,13.64379592,-7.489876936740E-08,0.3022583531
595662.1435,73.46449432,14.66685652,-6.676926562590E-08,0.296887683
630957.3445,73.87109479,15.92211105,-5.936466596800E-08,0.2891817687
668343.9176,74.07572409,17.05326931,-5.292675927270E-08,0.2853156233
707945.7844,74.36773555,18.29631963,-4.735080597930E-08,0.2798121315
749894.2093,74.55629473,19.60434166,-4.217761466000E-08,0.2762667385
794328.2347,74.75281982,21.04278174,-3.752759056550E-08,0.2725784193
841395.1416,74.77749221,22.27528119,-3.351709558820E-08,0.272115865
891250.9381,74.73501379,23.49831191,-2.991983071800E-08,0.2729123117
944060.8763,74.7726414,24.94244404,-2.667015103780E-08,0.2722067987
1000000,74.64051847,26.14954484,-2.382932534870E-08,0.2746852041