Frecuencia,C[nF],D,Rp[uS],|Z|[uS],Fase
100,16.6,0.016,0.03,10.43,89.8
200,16.59,0.0023,0.05,20.83,89.87
300,16.58,0.027,0.09,31.25,89.85
500,16.56,0.032,0.17,52.03,89.82
1000,16.542,0.046,0.48,103.94,89.74
2000,16.5,0.044,0.9,207.3,89.75
5000,16.45,0.0061,3.2,516.8,89.65
10000,16.399,0.0078,8.1,1030.4,89.55
20000,16.35,0.0087,18,2055,89.5
50000,16.25,0.011,56,5105,89.37
100000,16.163,0.0128,129,10156,89.27
200000,16.08,0.0146,300,20200,89.16
500000,16,0.0172,870,50260,89.01
800000,16.024,0.0194,1560,80560,88.89
900000,16.047,0.0202,1820,90760,88.85
1000000,16.082,0.0208,2110,101080,88.81