Frecuencia,L[mH],Q,Rs[Ohm],|Z|,Fase
100,0.984,0,0.488,0.79,51.8
200,0.989,2.5,0.491,1.337,68.49
300,0.988,3.8,0.494,1.927,75.19
500,0.986,6.2,0.503,3.14,80.82
1000,0.9827,11.9,0.52,6.197,85.16
2000,0.9799,22.7,0.54,12.329,87.46
5000,0.979,57.2,0.54,30.76,89.01
10000,0.979,110.2,0.56,61.52,89.48
20000,0.979,185.6,0.66,123.03,89.69
50000,0.98,281.3,1.1,308.1,89.8
100000,0.9847,295.3,2.1,618.8,89.81
200000,1.0053,279.6,4.6,1264,89.81
500000,1.184,155.6,24,3721,89.63
800000,1.7737,51,175,8920,88.88
900000,2.266,31.1,410,12820,88.14
1000000,3.27,16.9,1220,20580,86.58